,year,d14c,sig_d14c
0,-7196.0,88.02,2.7
1,-7195.0,85.09,2.66
2,-7194.0,79.67,2.62
3,-7193.0,81.08,2.64
4,-7192.0,84.72,2.68
5,-7191.0,84.42,2.62
6,-7190.0,83.83,2.62
7,-7189.0,87.04,2.66
8,-7188.0,82.11,2.62
9,-7187.0,83.48,2.82
10,-7185.0,83.59,2.61
11,-7183.0,89.65,2.65
12,-7182.0,82.33,2.63
13,-7181.0,79.52,2.66
14,-7180.0,78.78,2.64
15,-7179.0,82.12,2.58
16,-7178.0,81.08,2.63
17,-7177.0,81.93,2.63
18,-7176.0,101.84,1.98
19,-7175.0,99.6,1.97
20,-7174.0,97.05,2.67
21,-7173.0,93.78,1.97
22,-7172.0,99.61,2.44
23,-7171.0,99.9,1.94
24,-7170.0,90.74,2.92
25,-7169.0,94.13,2.08
26,-7167.0,91.98,2.07
27,-7166.0,89.94,2.91
28,-7165.0,85.23,2.88
29,-7164.0,87.6,2.87
30,-7163.0,89.94,2.88
31,-7162.0,85.9,2.88
32,-7161.0,83.46,2.91
33,-7160.0,86.97,2.85
34,-7159.0,83.41,2.88
35,-7158.0,80.85,2.89
36,-7157.0,83.31,2.86
37,-7156.0,83.6,2.87
38,-7155.0,80.9,2.89
39,-7154.0,83.67,2.87
40,-7153.0,81.98,2.88
41,-7152.0,78.65,2.91
42,-7151.0,78.59,2.87
43,-7150.0,84.19,2.9
44,-7149.0,83.95,2.88
45,-7148.0,75.91,2.94
46,-7147.0,82.91,2.95
