,year,d14c,sig_d14c
0,-7196.0,83.45,1.69
1,-7195.0,81.26,2.29
2,-7194.0,82.77,1.69
3,-7193.0,80.28,2.29
4,-7192.0,79.37,1.71
5,-7191.0,81.42,1.65
6,-7190.0,82.16,1.69
7,-7189.0,83.98,2.29
8,-7188.0,81.75,1.39
9,-7187.0,79.88,1.68
10,-7186.0,80.27,1.41
11,-7185.0,84.18,1.68
12,-7184.0,79.59,1.4
13,-7183.0,81.68,1.69
14,-7182.0,80.79,1.4
15,-7181.0,80.83,1.69
16,-7180.0,80.1,1.39
17,-7179.0,80.11,1.67
18,-7178.0,81.63,0.86
19,-7177.0,82.56,0.75
20,-7176.0,96.44,0.99
21,-7175.0,101.93,1.0
22,-7174.0,99.63,1.21
23,-7173.0,97.4,1.41
24,-7172.0,95.51,1.22
25,-7171.0,92.77,1.39
26,-7170.0,91.81,1.23
27,-7169.0,91.8,1.4
28,-7168.0,92.54,1.24
29,-7167.0,89.96,1.72
30,-7166.0,87.69,1.22
31,-7165.0,86.95,1.71
32,-7164.0,86.6,1.42
33,-7163.0,88.32,1.72
34,-7162.0,85.05,1.42
35,-7161.0,85.34,1.71
36,-7160.0,88.57,1.42
37,-7159.0,83.48,2.4
38,-7158.0,84.11,2.39
39,-7157.0,85.66,2.39
40,-7156.0,84.96,2.46
41,-7155.0,88.21,2.4
42,-7154.0,87.11,2.4
43,-7153.0,86.6,2.4
44,-7152.0,86.18,2.39
45,-7150.0,84.99,2.39
46,-7148.0,88.55,1.94
47,-7147.0,83.17,1.92
