,year,d14c,sig_d14c
0,-5271.0,97.76,1.62
1,-5270.0,95.07,1.44
2,-5269.0,95.06,1.39
3,-5268.0,96.55,1.74
4,-5267.0,93.24,2.42
5,-5266.0,95.16,1.61
6,-5265.0,94.26,1.7
7,-5264.0,94.69,1.79
8,-5263.0,92.12,1.69
9,-5262.0,91.83,1.61
10,-5261.0,92.17,1.67
11,-5259.0,109.78,1.73
12,-5258.0,115.36,1.66
13,-5257.0,109.45,1.64
14,-5256.0,108.67,1.53
15,-5255.0,106.26,2.2
16,-5254.0,108.56,1.54
17,-5253.0,105.33,1.6
18,-5252.0,103.47,2.21
19,-5251.0,101.13,2.48
20,-5250.0,98.0,1.63
21,-5249.0,102.27,1.65
22,-5248.0,98.7,2.19
23,-5247.0,97.46,1.71
