,year,d14c,sig_d14c
0,-5271.0,99.48,1.77
1,-5270.0,96.43,2.27
2,-5269.0,94.76,1.76
3,-5268.0,95.5,1.77
4,-5267.0,94.67,1.77
5,-5266.0,95.15,1.77
6,-5265.0,98.28,1.77
7,-5264.0,95.86,1.77
8,-5263.0,95.47,1.76
9,-5262.0,93.07,1.78
10,-5261.0,94.42,1.77
11,-5260.0,91.68,1.78
12,-5259.0,110.72,1.83
13,-5258.0,113.44,1.79
14,-5257.0,111.24,1.79
15,-5256.0,112.18,1.79
16,-5255.0,107.03,1.83
17,-5254.0,104.74,1.78
18,-5253.0,104.72,1.8
19,-5252.0,102.86,1.76
20,-5251.0,98.48,1.76
21,-5250.0,97.72,1.76
22,-5249.0,97.46,1.76
23,-5248.0,96.39,1.77
24,-5247.0,96.62,1.77
