,year,d14c,sig_d14c
0,-7196.0,85.6,2.53
1,-7195.0,84.96,2.46
2,-7194.0,82.83,2.54
3,-7189.0,83.1,2.52
4,-7188.0,80.7,2.47
5,-7187.0,86.67,2.54
6,-7186.0,81.02,2.47
7,-7185.0,84.42,1.92
8,-7184.0,85.82,2.49
9,-7183.0,85.83,2.54
10,-7181.0,78.59,2.59
11,-7180.0,83.42,2.47
12,-7179.0,80.54,2.44
13,-7178.0,83.74,2.46
14,-7177.0,85.01,1.52
15,-7176.0,95.95,2.5
16,-7175.0,96.55,1.77
17,-7174.0,100.47,1.52
18,-7173.0,97.34,1.54
19,-7172.0,92.45,1.52
20,-7171.0,93.31,1.51
21,-7170.0,93.44,1.9
22,-7169.0,87.7,2.49
23,-7168.0,90.29,2.5
24,-7166.0,90.71,2.52
25,-7165.0,89.46,2.47
26,-7164.0,87.74,2.54
27,-7163.0,87.48,2.54
28,-7162.0,81.75,2.48
29,-7161.0,83.62,2.5
30,-7160.0,82.97,2.49
31,-7159.0,86.11,2.48
32,-7158.0,81.26,2.47
33,-7157.0,80.79,2.46
34,-7156.0,88.63,2.49
35,-7155.0,85.47,2.47
36,-7154.0,85.48,2.52
37,-7153.0,84.5,2.52
38,-7152.0,84.95,2.53
39,-7151.0,87.41,2.53
40,-7150.0,84.33,2.47
