,year,d14c,sig_d14c
0,-5420.0,89.1,2.4
1,-5418.0,92.3,1.8
2,-5417.0,90.5,2.5
3,-5416.0,95.5,1.8
4,-5415.0,92.7,1.8
5,-5414.0,91.4,2.4
6,-5413.0,90.1,2.5
7,-5412.0,89.4,1.8
8,-5411.0,93.5,1.8
9,-5410.0,95.8,2.5
10,-5409.0,98.8,1.8
11,-5408.0,95.8,1.7
12,-5407.0,94.9,1.6
13,-5406.0,97.6,1.7
14,-5405.0,92.0,1.8
15,-5404.0,92.4,1.7
16,-5403.0,92.0,1.8
17,-5402.0,94.2,2.3
18,-5401.0,92.3,1.7
19,-5400.0,89.5,1.8
20,-5399.0,90.9,1.8
21,-5398.0,91.5,1.7
22,-5397.0,92.2,2.5
23,-5396.0,93.1,1.8
24,-5395.0,87.3,1.8
25,-5394.0,89.5,2.4
26,-5393.0,85.0,2.4
27,-5392.0,90.0,2.4
28,-5391.0,87.5,2.4
29,-5390.0,89.4,1.8
30,-5389.0,87.8,2.4
31,-5388.0,89.8,1.8
32,-5387.0,85.5,2.4
33,-5386.0,91.0,1.8
34,-5385.0,87.1,2.4
35,-5384.0,88.3,2.4
36,-5383.0,83.8,2.4
37,-5382.0,86.7,2.4
38,-5381.0,84.9,2.3
