cal,d14c,d14csig,paper_ref,tree_ref
969,-13,2.32,29,1
968,-22.27,2.62,29,1
967,-13.46,2.44,29,1
966,-19.99,2.92,29,1
965,-17.75,2.46,29,1
964,-18.13,2.57,29,1
963,-19.39,2.54,29,1
962,-19.37,2.34,29,1
961,-24.76,2.31,29,1
958,-17.64,2.28,29,1
957,-21.05,2.26,29,1
956,-20.09,2.48,29,1
955,-9.61,2.32,29,1
954,-11.57,2.39,29,1
953,-8.79,2.36,29,1
952,-13.8,2.46,29,1
951,-13.59,2.74,29,1
947,-11.55,2.79,29,1
946,-12,2.51,29,1
945,-11.77,2.5,29,1
958,-10.87,2.63,29,1
957,-23.49,2.95,29,1
956,-26.72,2.31,29,1
955,-20.2,2.52,29,1
954,-9.79,2.49,29,1
953,-12.24,2.37,29,1
952,-10.86,2.78,29,1
951,-12.46,2.25,29,1
960,-16.36,2.4,29,1
959,-19.33,2.44,29,1
950,-12.61,2.62,29,1
949,-12.74,2.42,29,1
948,-11.36,3,29,1
944,-11.84,2.65,29,1
943,-7.43,2.48,29,1
2784,-1.97,2.12,40,1
2783,-1.46,2.12,40,1
2782,-1.96,2.12,40,1
2781,-5.43,2.12,40,1
2780,-0.58,1.99,40,1
2779,-0.7,2.12,40,1
2778,5.79,2.12,40,1
2777,2.42,2.12,40,1
2776,2.3,2.12,40,1
2775,-0.07,2.12,40,1
2774,-4.04,2.12,40,1
2773,-1.93,2.12,40,1
2772,-2.92,2.49,40,1
2771,-0.55,2.49,40,1
2770,-5.02,2.49,40,1
2769,-1.42,2.49,40,1
2768,-0.04,2.49,40,1
2767,4.58,2.49,40,1
2766,0.46,2.49,40,1
2765,-0.66,2.49,40,1
2764,2.96,2.49,40,1
2763,-6.48,2.49,40,1
2762,-0.64,3.49,40,1
2761,-0.89,2.49,40,1
2760,1.11,2.38,40,1
2759,-1.38,2.49,40,1
2758,-0.63,2.49,40,1
2757,0.49,2.26,40,1
2756,2.12,2.27,40,1
2755,4.87,2.28,40,1
2754,3.12,2.3,40,1
2753,8.64,2.23,40,1
2752,6.38,2.19,40,1
2751,8.02,2.37,40,1
2750,4.39,4.36,40,1
2749,6.77,3.73,40,1
2748,7.15,4.36,40,1
2747,7.4,1.87,40,1
2746,6.21,2.37,40,1
2745,7.8,2.37,40,1
2744,4.14,2.38,40,1
2743,5.84,2.32,40,1
2742,7.34,2.39,40,1
2741,6.1,2.38,40,1
2740,9.82,2.37,40,1
2739,5.99,2.39,40,1
2738,7.56,2.4,40,1
2737,6.43,2.42,40,1
2736,4.86,2.36,40,1
2735,9.16,2.5,40,1
2734,4.81,2.59,40,1
2733,7.79,2.54,40,1
2732,9.59,2.55,40,1
2731,8.24,2.65,40,1
2730,9.45,2.55,40,1
2729,3.71,1.99,40,1
2728,10.02,2.58,40,1
2727,10.61,2.12,40,1
2726,11.1,2.56,40,2
2728,10.66,2.56,40,2
2730,6.41,2.55,40,2
2732,8.2,2.64,40,2
