year,d14c,sig_d14c,id
1725.0,12.2,2.3,Intcal20
1724.0,9.0,2.1,Intcal20
1724.0,14.0,2.3,Intcal20
1723.0,12.0,2.3,Intcal20
1722.0,11.2,2.1,Intcal20
1721.0,12.7,2.3,Intcal20
1720.0,14.5,2.3,Intcal20
1719.0,14.9,2.3,Intcal20
1718.0,17.1,2.2,Intcal20
1718.0,14.5,2.1,Intcal20
1717.0,17.0,2.3,Intcal20
1716.0,15.4,2.3,Intcal20
1715.0,14.7,2.3,Intcal20
1714.0,18.3,2.3,Intcal20
1713.0,17.9,2.3,Intcal20
1712.0,12.9,2.3,Intcal20
1711.0,17.9,2.3,Intcal20
1711.0,18.9,2.3,Intcal20
1710.0,14.6,2.3,Intcal20
1709.0,14.1,2.5,Intcal20
1708.0,14.2,2.1,Intcal20
1707.0,10.9,2.3,Intcal20
1707.0,14.1,2.3,Intcal20
1706.0,13.9,2.5,Intcal20
1705.0,16.2,2.5,Intcal20
1704.0,15.1,2.0,Intcal20
1703.0,16.7,1.8,Intcal20
1703.0,18.9,2.2,Intcal20
1702.0,9.5,2.9,Intcal20
1702.0,11.5,2.3,Intcal20
1702.0,14.8,2.3,Intcal20
1701.0,18.5,2.7,Intcal20
1700.0,18.2,2.9,Intcal20
1700.0,20.0,2.3,Intcal20
1699.0,20.5,2.5,Intcal20
1698.0,16.2,2.7,Intcal20
1697.0,19.0,2.5,Intcal20
1696.0,15.3,2.3,Intcal20
1695.0,18.1,2.3,Intcal20
1694.0,16.7,2.5,Intcal20
1693.0,15.6,2.5,Intcal20
1692.0,15.6,2.3,Intcal20
1691.0,14.0,1.8,Intcal20
1690.0,13.9,1.8,Intcal20
1748.0,4.5,2.3,Intcal20
1747.0,6.9,2.3,Intcal20
1746.0,6.9,2.3,Intcal20
1746.0,7.9,2.3,Intcal20
1745.0,6.3,2.3,Intcal20
1745.0,2.4,2.6,Intcal20
1744.0,2.8,2.2,Intcal20
1743.0,4.1,1.8,Intcal20
1743.0,7.0,2.8,Intcal20
1742.0,5.5,2.3,Intcal20
1741.0,0.9,2.1,Intcal20
1741.0,1.4,2.6,Intcal20
1740.0,5.6,2.3,Intcal20
1739.0,5.5,2.1,Intcal20
1739.0,7.6,2.6,Intcal20
1738.0,7.2,2.3,Intcal20
1737.0,7.2,2.6,Intcal20
1736.0,7.4,2.6,Intcal20
1735.0,7.4,2.5,Intcal20
1734.0,9.0,2.9,Intcal20
1733.0,8.9,2.5,Intcal20
1732.0,7.1,2.0,Intcal20
1731.0,5.6,1.8,Intcal20
1730.0,10.6,2.5,Intcal20
1729.0,12.7,2.3,Intcal20
1728.0,11.6,2.5,Intcal20
1727.0,14.3,2.5,Intcal20
1726.0,17.9,2.0,Intcal20
1725.0,13.7,1.8,Intcal20
1724.0,16.1,2.3,Intcal20
1723.0,15.0,2.3,Intcal20
1722.0,14.2,2.1,Intcal20
1721.0,14.5,2.3,Intcal20
1720.0,15.0,2.1,Intcal20
1720.0,15.0,2.1,Intcal20
1719.0,13.5,2.1,Intcal20
1719.0,20.9,2.3,Intcal20
1718.0,18.0,2.2,Intcal20
1718.0,18.4,2.2,Intcal20
1717.0,15.5,2.1,Intcal20
1717.0,15.0,2.1,Intcal20
1716.0,20.3,2.7,Intcal20
1715.0,18.6,2.3,Intcal20
1714.0,17.5,2.3,Intcal20
1713.0,17.4,2.3,Intcal20
1712.0,14.8,2.3,Intcal20
1711.0,17.1,2.2,Intcal20
1711.0,20.3,2.3,Intcal20
1710.0,17.4,2.2,Intcal20
1710.0,20.5,2.3,Intcal20
1709.0,19.8,2.5,Intcal20
1708.0,16.8,2.3,Intcal20
1707.0,16.1,2.2,Intcal20
1707.0,18.7,2.2,Intcal20
1706.0,14.7,2.3,Intcal20
1705.0,16.7,2.2,Intcal20
1704.0,19.9,2.2,Intcal20
1704.0,23.7,2.3,Intcal20
1703.0,18.2,2.3,Intcal20
1702.0,17.7,2.2,Intcal20
1702.0,19.5,2.2,Intcal20
1701.0,16.2,2.2,Intcal20
1701.0,22.8,2.3,Intcal20
1700.0,16.1,2.5,Intcal20
1700.0,16.6,2.5,Intcal20
1699.0,19.1,2.3,Intcal20
1698.0,21.1,2.3,Intcal20
1697.0,17.6,2.3,Intcal20
1696.0,19.7,2.2,Intcal20
1695.0,19.1,2.3,Intcal20
1694.0,17.8,2.3,Intcal20
1693.0,16.4,2.3,Intcal20
1692.0,18.2,2.3,Intcal20
1691.0,15.6,2.3,Intcal20
1690.0,15.5,2.3,Intcal20
1689.0,14.4,2.7,Intcal20
1688.0,15.1,2.3,Intcal20
1687.0,14.7,2.3,Intcal20
1686.0,17.5,2.2,Intcal20
1686.0,17.4,2.7,Intcal20
1700.0,16.7,2.5,Intcal20
1699.0,14.3,2.5,Intcal20
1698.0,14.2,2.5,Intcal20
1697.0,18.2,2.5,Intcal20
1696.0,14.0,2.3,Intcal20
1695.0,14.5,1.6,Intcal20
1695.0,12.5,2.3,Intcal20
1694.0,13.5,2.0,Intcal20
1694.0,18.3,2.5,Intcal20
1693.0,15.0,2.3,Intcal20
1692.0,15.0,2.3,Intcal20
1691.0,15.0,2.7,Intcal20
1690.0,11.9,2.6,Intcal20
1689.0,16.9,2.5,Intcal20
1688.0,18.2,2.3,Intcal20
1687.0,12.6,2.6,Intcal20
1687.0,15.0,2.9,Intcal20
1686.0,18.0,2.3,Intcal20
1686.0,17.4,3.2,Intcal20
1685.0,13.5,3.2,Intcal20
1684.0,13.2,2.3,Intcal20
1683.0,11.6,2.3,Intcal20
1682.0,12.2,2.5,Intcal20
1681.0,11.9,2.3,Intcal20
1680.0,13.0,2.1,Intcal20
1678.0,8.4,2.3,Intcal20
1677.0,11.6,2.1,Intcal20
1677.0,8.2,2.3,Intcal20
1676.0,9.7,2.3,Intcal20
1676.0,13.1,2.3,Intcal20
1675.0,11.9,2.3,Intcal20
1674.0,5.8,2.6,Intcal20
1674.0,12.4,2.5,Intcal20
1673.0,16.7,2.3,Intcal20
1673.0,13.9,2.3,Intcal20
1672.0,10.9,2.3,Intcal20
1671.0,13.2,2.3,Intcal20
1671.0,17.6,2.7,Intcal20
1670.0,9.8,2.3,Intcal20
1669.0,11.3,2.5,Intcal20
1668.0,11.9,2.6,Intcal20
1667.0,10.1,2.5,Intcal20
1666.0,8.4,2.3,Intcal20
1665.0,6.7,1.8,Intcal20
1664.0,7.5,2.3,Intcal20
1664.0,5.2,1.8,Intcal20
1663.0,8.7,2.5,Intcal20
1662.0,7.5,2.5,Intcal20
1661.0,9.0,2.5,Intcal20
1660.0,4.1,2.2,Intcal20
1660.0,3.7,2.5,Intcal20
1659.0,6.2,2.6,Intcal20
1658.0,9.3,2.5,Intcal20
1657.0,4.5,2.0,Intcal20
1656.0,4.6,2.1,Intcal20
1655.0,6.3,2.1,Intcal20
1654.0,5.1,2.3,Intcal20
1654.0,9.7,2.5,Intcal20
1653.0,4.1,2.5,Intcal20
1651.0,4.9,2.5,Intcal20
1650.0,5.4,2.3,Intcal20
1650.0,6.1,2.5,Intcal20
1649.0,2.1,2.2,Intcal20
1649.0,6.3,2.5,Intcal20
1648.0,3.3,2.2,Intcal20
1647.0,3.9,2.6,Intcal20
1646.0,2.7,2.2,Intcal20
1645.0,2.2,2.2,Intcal20
1644.0,1.0,1.6,Intcal20
1644.0,4.0,2.1,Intcal20
1643.0,3.8,2.5,Intcal20
1642.0,1.5,2.2,Intcal20
1641.0,2.2,2.7,Intcal20
1640.0,-1.2,2.1,Intcal20
1640.0,-4.6,2.7,Intcal20
1639.0,-1.1,1.6,Intcal20
1639.0,4.4,2.5,Intcal20
1638.0,-2.6,2.2,Intcal20
1637.0,0.6,2.7,Intcal20
1636.0,-0.4,2.1,Intcal20
1636.0,4.0,2.5,Intcal20
1635.0,-1.4,2.1,Intcal20
1635.0,4.8,2.5,Intcal20
1634.0,-3.3,2.5,Intcal20
1633.0,-0.2,2.5,Intcal20
1632.0,-3.6,2.5,Intcal20
1631.0,-3.4,2.5,Intcal20
1630.0,-4.0,2.5,Intcal20
1629.0,-4.6,2.1,Intcal20
1629.0,4.0,2.5,Intcal20
1628.0,-4.6,2.5,Intcal20
1627.0,-0.4,2.5,Intcal20
1626.0,-6.3,2.5,Intcal20
1625.0,-0.5,2.5,Intcal20
1625.0,-0.9,1.7,Intcal20
1624.0,-4.0,1.7,Intcal20
1623.0,2.0,2.6,Intcal20
1622.0,-2.9,2.5,Intcal20
1622.0,-2.3,2.2,Intcal20
1621.0,-2.3,2.2,Intcal20
1620.0,2.0,2.2,Intcal20
1620.0,-3.9,2.6,Intcal20
1619.0,-0.3,2.2,Intcal20
1618.0,-1.5,2.2,Intcal20
1617.0,-4.2,2.5,Intcal20
1616.0,-5.4,2.2,Intcal20
1615.0,-0.8,2.2,Intcal20
1615.0,-8.4,2.5,Intcal20
1614.0,-1.3,2.5,Intcal20
1613.0,-5.2,2.2,Intcal20
1612.0,-1.4,2.5,Intcal20
1611.0,-6.2,2.5,Intcal20
1611.0,-6.6,2.5,Intcal20
1610.0,-2.7,2.5,Intcal20
1609.0,-3.1,2.1,Intcal20
1608.0,0.0,2.5,Intcal20
1608.0,-7.2,2.7,Intcal20
1607.0,-4.8,2.6,Intcal20
1606.0,-4.9,2.6,Intcal20
1606.0,-2.6,2.5,Intcal20
1606.0,-7.0,2.7,Intcal20
1605.0,-2.6,2.6,Intcal20
1605.0,-8.2,2.6,Intcal20
1604.0,-3.6,2.5,Intcal20
1604.0,-10.4,2.2,Intcal20
1603.0,-4.3,2.5,Intcal20
1602.0,-2.0,2.5,Intcal20
1601.0,-3.2,2.6,Intcal20
1601.0,-0.1,2.2,Intcal20
1600.0,-0.5,2.2,Intcal20
1600.0,2.0,2.2,Intcal20
1599.0,-1.0,2.2,Intcal20
1598.0,0.5,2.2,Intcal20
1597.0,-1.5,2.5,Intcal20
1596.0,-0.4,2.2,Intcal20
1595.0,2.2,2.2,Intcal20
1594.0,2.5,2.2,Intcal20
1593.0,0.5,2.1,Intcal20
1592.0,-0.4,2.6,Intcal20
1591.0,3.7,2.2,Intcal20
1590.0,4.5,2.3,Intcal20
1589.0,3.7,2.2,Intcal20
