,year,d14c,sig_d14c
0,-669.0,-0.8,2.5
1,-668.0,1.7,2.5
2,-667.0,-1.3,2.6
3,-666.0,1.6,2.6
4,-665.0,-0.2,1.5
5,-664.0,2.8,1.3
6,-663.0,7.8,1.5
7,-662.0,10.5,1.5
8,-661.0,12.7,1.5
9,-660.0,8.1,1.8
10,-659.0,8.5,1.4
11,-658.0,9.3,1.4
12,-657.0,8.7,1.8
13,-656.0,9.8,1.4
14,-655.0,8.6,1.1
15,-654.0,8.4,0.8
16,-653.0,6.7,0.9
17,-652.0,7.9,1.4
18,-651.0,2.9,1.4
19,-650.0,4.5,1.7
20,-649.0,2.6,1.7
21,-648.0,4.3,1.8
22,-647.0,4.1,1.7
23,-646.0,4.2,1.7
24,-645.0,3.4,1.4
25,-644.0,0.0,1.2
26,-643.0,5.9,0.9
27,-642.0,5.0,1.4
28,-641.0,1.5,1.4
29,-640.0,1.5,1.7
30,-639.0,-2.6,1.4
31,-638.0,-1.2,1.7
32,-637.0,4.7,1.7
33,-636.0,6.5,1.8
34,-635.0,3.3,1.4
35,-634.0,1.8,1.7
36,-633.0,-0.3,2.4
