,year,d14c,sig_d14c
0,-669.0,3.7,2.5
1,-668.0,1.3,2.5
2,-667.0,1.3,1.7
3,-666.0,0.8,1.8
4,-665.0,-2.7,1.5
5,-664.0,7.1,1.6
6,-663.0,11.4,1.5
7,-662.0,13.5,1.5
8,-661.0,12.8,1.6
9,-660.0,11.8,1.4
10,-659.0,10.8,1.8
11,-658.0,6.6,1.8
12,-657.0,8.4,1.8
13,-656.0,7.9,1.4
14,-655.0,4.3,1.1
15,-654.0,6.8,1.1
16,-653.0,9.0,1.1
17,-652.0,4.6,1.4
18,-651.0,3.8,1.7
19,-650.0,4.7,1.8
20,-649.0,3.3,1.7
21,-648.0,5.4,1.7
22,-647.0,6.2,1.7
23,-646.0,1.4,1.6
24,-645.0,1.3,1.4
25,-644.0,1.7,1.1
26,-643.0,2.8,1.1
27,-642.0,1.9,1.4
28,-641.0,-0.3,1.7
29,-640.0,4.7,1.7
30,-639.0,2.2,1.7
31,-638.0,2.2,1.7
32,-637.0,3.1,1.7
33,-636.0,6.5,1.7
34,-635.0,2.4,1.7
35,-634.0,1.8,2.4
36,-633.0,2.4,2.3
