solver,time_mean,time_errs,accuracy_mean,accuracy_errs,method
TRBDF2,0.012055688434176974,7.709882115452476e-19,0.05176752578839547,0.0,gradient
BS3,0.004261573155721028,2.8912057932946783e-19,0.00862485727525821,-1.734723475976807e-18,gradient
Tsit5,0.005327304204305013,2.8912057932946783e-19,0.021841112829310252,-5.782411586589357e-19,gradient
Rosenbrock23,0.07002544403076172,0.0,0.004868091174693292,4.336808689942018e-19,gradient
ROS34PW1a,0.05943997701009115,-2.3129646346357427e-18,0.0085315438116571,-1.734723475976807e-18,gradient
QNDF1,0.08916044235229492,0.0,0.005723296623982019,-1.4456028966473392e-19,gradient
ABDF2,0.02284420861138238,-1.5419764230904951e-18,0.023821280818825407,-2.3129646346357427e-18,gradient
ExplicitRK,0.010431660546196831,0.0,0.03908295637822125,-4.04768811061255e-18,gradient
DP5,0.0058163536919487845,1.927470528863119e-19,0.006583699540080289,7.950815931560366e-19,gradient
TanYam7,0.00636087523566352,-1.927470528863119e-19,0.034778205595725746,-1.1564823173178713e-18,gradient
Vern6,0.010896417829725478,0.0,0.023149379014572327,-1.1564823173178713e-18,gradient
TRBDF2,0.09736355145772298,4.625929269271485e-18,0.42152045202212735,-6.1679056923619804e-18,hessian
BS3,0.023663891686333552,-1.5419764230904951e-18,0.011524450937761875,3.854941057726238e-19,hessian
Tsit5,0.023793803320990667,1.5419764230904951e-18,0.0261440196989101,0.0,hessian
Rosenbrock23,0.5660063425699869,3.700743415417188e-17,0.006557240850140749,0.0,hessian
ROS34PW1a,0.39851922459072536,6.1679056923619804e-18,0.007311725949413188,-4.577742506049908e-19,hessian
QNDF1,0.790667454401652,3.700743415417188e-17,0.0072951887865214575,-3.854941057726238e-19,hessian
ABDF2,0.1852681106991238,6.1679056923619804e-18,0.07988281340733969,6.1679056923619804e-18,hessian
ExplicitRK,0.031221018897162542,1.5419764230904951e-18,0.14781555770058005,-1.5419764230904953e-17,hessian
DP5,0.033447212643093534,-7.709882115452476e-19,0.19731058165283002,0.0,hessian
TanYam7,0.027926789389716253,1.5419764230904951e-18,1.4527130128879682,-1.7886926507849745e-16,hessian
Vern6,0.028730233510335285,1.5419764230904951e-18,0.03374687641981012,-1.1564823173178713e-18,hessian
TRBDF2,0.009168995751274956,-7.709882115452476e-19,0.004685949286959975,-1.035238203405514e-18,run_solver
BS3,0.0013109842936197917,-7.228014483236696e-20,2.0815942184347414e-5,-1.3115348860711747e-21,run_solver
Tsit5,0.0035112169053819445,-4.818676322157797e-20,5.043179389334752e-5,9.83651164553381e-21,run_solver
Rosenbrock23,0.02005799611409505,1.1564823173178713e-18,2.0032877003790597e-5,-1.5301240337497038e-21,run_solver
ROS34PW1a,0.028000222312079534,1.5419764230904951e-18,1.6442411612813332e-5,-3.0602480674994076e-21,run_solver
QNDF1,0.035433424843682185,-1.5419764230904951e-18,1.8368469627522706e-5,1.748713181428233e-21,run_solver
ABDF2,0.009297450383504232,-5.782411586589357e-19,1.876663333683849e-5,-6.22979070883808e-21,run_solver
ExplicitRK,0.006393988927205403,0.0,7.006192375849761e-5,-8.306387611784107e-21,run_solver
DP5,0.0014451344807942708,7.228014483236696e-20,2.714373183495689e-5,2.4044806244638204e-21,run_solver
TanYam7,0.0027284622192382812,0.0,3.457966727394441e-5,-4.153193805892053e-21,run_solver
Vern6,0.0014428827497694227,4.818676322157797e-20,4.394461274262418e-5,-3.9346046582135244e-21,run_solver
